Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
WPM,Fortress,117.87,53.58,Basic Materials,196.03,8.72,66.54,50.89,8.089,2269.82,53.59
NVDA,Fortress,188.85,46.63,Technology,90.66,90.08,63.17,43.63,4.468,341.19,4597.93
ISRG,Fortress,561.98,74.63,Healthcare,56.32,13.82,30.33,27.54,4.728,100.0,201.46
RGLD,Fortress,221.12,30.33,Basic Materials,43.98,13.18,50.53,51.72,3.516,44.71,18.66
FAST,Fortress,40.44,38.15,Industrials,30.15,37.78,20.7,20.47,4.259,207.59,46.43
RMBS,Fortress,99.28,47.28,Technology,30.13,15.97,35.43,19.68,11.609,142.27,10.69
DOCS,Fortress,43.29,34.63,Healthcare,29.06,20.77,38.55,34.85,7.786,100.0,8.15
MNST,Fortress,76.16,43.27,Consumer Defensive,28.89,29.15,30.74,27.67,3.185,100.0,74.41
APP,Fortress,618.32,72.83,Communication Services,28.52,39.37,76.8,15.8,3.25,5.95,209.15
ANET,Fortress,133.6,50.8,Technology,27.66,26.03,42.38,36.7,3.254,100.0,168.24
CPRT,Fortress,37.77,24.06,Industrials,27.57,18.04,37.29,37.83,7.939,,36.56
ASM,Fortress,5.92,42.29,Basic Materials,24.51,11.12,32.56,6.68,2.754,38.26,0.93
TER,Fortress,207.56,75.48,Technology,24.33,19.87,18.89,24.67,1.759,170.8,33.02
GOOG,Fortress,315.32,31.1,Communication Services,20.86,33.25,30.51,29.14,1.747,448.07,3806.49
TSEM,Fortress,121.74,68.01,Technology,20.19,7.92,12.78,14.02,6.61,54.97,13.65
ODFL,Fortress,159.19,31.52,Industrials,19.15,31.47,25.66,27.6,1.204,7348.16,33.46
CORT,Fortress,38.2,43.91,Healthcare,17.74,19.57,4.92,26.14,3.141,100.0,4.03
VEEV,Fortress,219.49,42.79,Healthcare,16.51,11.64,29.69,22.99,7.527,100.0,36.08
LRCX,Fortress,185.06,40.76,Technology,16.35,41.53,34.35,30.48,2.207,34.43,233.37
CPRX,Fortress,23.15,13.54,Healthcare,16.33,26.7,44.66,36.56,6.622,100.0,2.85
CDNS,Fortress,310.4,80.0,Technology,14.15,19.35,35.09,29.17,3.048,19.37,84.58
GNTX,Fortress,23.69,14.02,Consumer Cyclical,13.28,18.68,18.75,21.19,2.962,100.0,5.2
DECK,Fortress,106.79,15.41,Consumer Cyclical,13.15,44.52,22.82,20.3,3.067,354.51,15.84
META,Fortress,650.41,28.8,Communication Services,12.79,29.44,40.08,35.32,1.978,99.83,1639.38
EW,Fortress,85.33,37.43,Healthcare,12.71,13.57,27.37,30.42,4.004,79.19,50.1
CTAS,Fortress,184.88,39.93,Industrials,12.44,28.91,23.42,21.26,1.705,23.39,74.5
RMD,Fortress,244.81,25.03,Healthcare,12.43,23.58,34.62,29.4,2.888,,35.73
AMAT,Fortress,268.87,31.05,Technology,12.3,33.71,28.44,29.46,2.61,35.46,214.19
AVGO,Fortress,347.62,72.72,Technology,12.06,17.0,31.77,39.71,1.705,8.08,1648.16
EXEL,Fortress,43.58,18.31,Healthcare,11.9,27.12,42.89,18.41,3.752,100.0,11.73
GMAB,Fortress,31.82,13.48,Healthcare,11.76,22.92,44.91,35.78,6.034,77.37,19.73
ASML,Fortress,1163.78,40.89,Technology,10.89,32.26,32.84,32.64,1.308,56.61,451.72
APH,Fortress,139.71,46.57,Technology,10.84,18.6,27.48,20.72,2.07,14.88,171.01
INFY,Fortress,18.15,22.97,Technology,10.65,36.24,20.98,21.48,2.28,91.76,73.43
LLY,Fortress,1080.36,52.62,Healthcare,10.46,26.74,48.29,32.2,1.546,17.24,968.5
PGNY,Fortress,25.74,41.52,Healthcare,10.42,15.38,6.87,5.23,2.955,100.0,2.22
HWM,Fortress,211.71,59.3,Industrials,10.34,17.45,25.66,18.61,2.353,8.6,85.21
NFLX,Fortress,90.99,38.07,Communication Services,10.26,24.92,28.22,21.5,1.332,14.87,385.55
NYT,Fortress,69.82,34.23,Communication Services,10.1,17.26,14.95,12.51,1.524,378.01,11.37
SCCO,Fortress,148.69,32.11,Basic Materials,10.09,34.57,52.37,47.64,4.517,17.04,121.79
SGHC,Fortress,11.64,27.71,Consumer Cyclical,9.53,31.26,23.52,10.14,1.75,32.04,5.89
MSFT,Fortress,472.94,34.37,Technology,9.42,26.37,48.87,43.52,1.401,52.84,3515.44
MU,Fortress,315.42,29.95,Technology,9.37,14.2,44.97,7.06,2.46,21.24,355.01
ZM,Fortress,83.32,16.76,Technology,9.18,8.95,25.24,15.14,4.448,100.0,24.94
CGNX,Fortress,36.93,56.82,Technology,9.08,6.31,20.86,21.08,3.964,100.0,6.19
EXLS,Fortress,41.21,27.84,Technology,9.0,21.13,14.37,14.12,2.905,14.57,6.66
EXPD,Fortress,151.86,24.73,Industrials,8.97,38.74,9.95,10.54,1.794,,20.61
RVLV,Fortress,29.56,38.39,Consumer Cyclical,8.81,10.95,7.44,6.27,2.704,100.0,2.11
TXN,Fortress,177.52,32.39,Technology,8.64,18.71,36.74,44.45,4.45,11.73,161.39
ITW,Fortress,249.5,24.18,Industrials,8.61,43.73,27.67,24.94,1.53,16.63,72.73
Q,Fortress,84.98,32.68,Technology,8.41,7.85,21.71,19.13,1.781,3.21,17.8
REGN,Fortress,776.31,18.59,Healthcare,8.31,14.3,29.56,38.46,4.063,87.59,82.28
BWXT,Fortress,181.85,54.45,Industrials,8.27,16.2,10.91,13.47,1.708,9.83,16.63
LULU,Fortress,210.81,14.66,Consumer Cyclical,8.15,43.47,16.99,22.47,2.13,100.0,25.0
INTU,Fortress,629.46,43.2,Technology,7.93,19.11,15.7,22.96,1.386,20.57,175.24
AOS,Fortress,68.32,18.42,Industrials,7.87,30.21,18.63,18.3,1.544,105.63,9.57
SHOO,Fortress,42.2,54.1,Consumer Cyclical,7.79,23.85,5.13,12.08,1.91,,3.07
CMG,Fortress,37.49,33.18,Consumer Cyclical,7.7,24.7,16.13,14.83,1.542,100.0,50.27
PLAB,Fortress,33.41,14.65,Technology,7.66,13.54,24.15,26.03,5.366,4033.44,1.97
VRT,Fortress,175.61,66.02,Industrials,7.45,15.17,20.49,10.02,1.831,6.09,67.14
ELF,Fortress,77.81,54.41,Consumer Defensive,7.34,15.14,2.24,11.51,2.701,9.74,4.64
WSM,Fortress,187.85,20.71,Consumer Cyclical,7.22,42.19,16.95,17.37,1.427,,22.43
MOD,Fortress,140.81,40.58,Consumer Cyclical,7.16,20.37,10.91,8.47,2.0,10.62,7.41
VNOM,Fortress,38.78,15.96,Energy,7.16,11.51,50.63,72.8,1.879,7.82,12.65
YETI,Fortress,44.84,23.35,Consumer Cyclical,7.14,27.07,11.14,13.6,2.163,,3.64
OLLI,Fortress,111.32,30.42,Consumer Defensive,7.04,11.91,9.03,10.84,2.5,100.0,6.83
CTSH,Fortress,81.28,18.81,Technology,7.03,18.27,15.99,15.24,2.358,55.41,39.7
INCY,Fortress,101.42,17.19,Healthcare,7.03,8.39,31.63,14.38,3.195,139.87,19.91
DV,Fortress,10.86,41.77,Communication Services,7.0,7.67,11.19,12.15,3.978,80.42,1.78
ULS,Fortress,80.91,48.45,Industrials,7.0,22.82,19.8,14.74,1.328,8.55,16.26
GFI,Fortress,43.56,20.84,Basic Materials,6.66,24.17,46.44,35.92,1.886,40.44,39.2
QCOM,Fortress,172.98,34.53,Technology,6.6,32.51,26.24,28.58,2.816,20.07,186.65
ADI,Fortress,273.74,60.03,Technology,6.51,6.77,30.5,27.79,2.19,9.54,134.04
TT,Fortress,398.0,30.43,Industrials,6.51,24.72,20.22,15.86,1.205,14.6,88.56
AU,Fortress,85.6,18.77,Basic Materials,6.5,15.64,42.49,19.41,2.581,11.39,43.22
ROST,Fortress,182.74,28.6,Consumer Cyclical,6.46,27.53,11.58,11.64,1.52,44.5,59.43
ZTS,Fortress,125.92,21.2,Healthcare,6.36,31.02,39.33,36.21,3.643,14.92,55.81
AEM,Fortress,170.45,24.96,Basic Materials,6.35,10.21,53.1,29.01,2.12,33.63,85.57
NXT,Fortress,92.78,24.04,Technology,6.31,30.62,20.32,14.62,2.178,50.48,14.08
SN,Fortress,113.85,28.11,Consumer Cyclical,6.25,22.21,16.13,10.21,1.957,9.98,16.07
PHM,Fortress,119.07,9.19,Consumer Cyclical,6.23,25.25,17.34,20.74,6.449,8364.0,23.49
ALKS,Fortress,28.26,14.06,Healthcare,6.14,29.32,22.6,14.92,3.672,20.65,4.67
DHI,Fortress,145.72,12.59,Consumer Cyclical,6.07,13.2,12.47,17.22,6.421,100.0,42.56
AGI,Fortress,38.41,30.01,Basic Materials,5.99,10.53,80.68,28.96,1.717,35.88,16.13
BRBR,Fortress,26.09,15.53,Consumer Defensive,5.95,54.3,15.77,16.89,2.353,5.23,3.12
FSLR,Fortress,274.34,21.04,Technology,5.91,14.38,29.23,16.04,1.91,37.18,29.44
TS,Fortress,39.07,10.34,Energy,5.91,14.69,20.03,21.59,4.079,42.76,19.84
KEYS,Fortress,206.59,41.15,Technology,5.89,12.46,15.29,20.62,2.35,12.27,35.5
STLD,Fortress,176.06,22.43,Basic Materials,5.87,15.95,10.52,20.15,3.107,36.19,25.92
DT,Fortress,42.35,25.36,Technology,5.85,6.5,14.78,9.07,1.587,,12.77
DOV,Fortress,195.75,25.52,Industrials,5.74,18.31,18.69,15.99,2.042,14.39,26.85
PAAS,Fortress,51.04,29.5,Basic Materials,5.73,7.36,30.05,7.2,2.313,10.07,21.54
WDC,Fortress,187.7,26.44,Technology,5.71,17.32,15.4,7.61,1.213,4.17,64.34
DLO,Fortress,14.07,25.12,Technology,5.7,30.69,19.68,28.06,1.456,302.44,4.15
ABT,Fortress,124.19,15.6,Healthcare,5.64,11.26,19.39,17.78,1.703,13.55,216.15
ANF,Fortress,123.74,11.92,Consumer Cyclical,5.63,35.93,12.0,9.51,1.384,64.65,5.82
BSX,Fortress,94.71,50.65,Healthcare,5.6,7.84,20.73,16.57,1.508,8.48,140.4
LNTH,Fortress,67.27,27.57,Healthcare,5.57,25.9,11.36,10.84,2.667,22.91,4.57
PWR,Fortress,439.68,65.14,Industrials,5.53,11.18,7.11,5.13,1.344,6.98,65.56
ETN,Fortress,327.31,32.73,Industrials,5.4,15.38,19.79,15.59,1.28,36.12,127.42
KGC,Fortress,28.3,19.79,Basic Materials,5.37,15.62,44.25,13.05,2.83,30.33,34.6
TEL,Fortress,233.22,37.8,Technology,5.37,16.44,19.77,18.3,1.556,42.61,68.7
HXL,Fortress,76.88,87.36,Industrials,5.33,7.85,8.88,9.21,2.753,5.96,6.12
FERG,Fortress,225.02,22.78,Industrials,5.31,22.33,9.5,9.25,1.878,13.75,45.18
SYK,Fortress,348.18,45.63,Healthcare,5.27,13.2,22.27,18.09,1.849,100.0,133.15
GIL,Fortress,62.93,20.23,Consumer Cyclical,5.26,20.83,23.23,19.48,2.008,7.02,11.65
TSCO,Fortress,50.83,24.56,Consumer Cyclical,5.26,19.6,9.21,10.1,1.301,26.88,26.86
PNR,Fortress,105.47,26.84,Industrials,5.25,14.55,23.98,17.83,1.462,9.11,17.29
ECL,Fortress,262.64,37.74,Basic Materials,5.21,16.55,14.71,13.92,1.697,8.56,74.49
RES,Fortress,5.53,25.14,Energy,5.21,9.42,5.3,10.06,2.782,156.8,1.22
VLTO,Fortress,98.5,27.29,Industrials,5.21,23.23,23.22,22.74,1.568,10.61,24.46
DXCM,Fortress,66.54,36.97,Healthcare,5.16,20.49,20.05,13.92,1.565,38.32,26.09
FFIV,Fortress,256.63,21.77,Technology,5.14,16.81,27.13,20.93,1.562,100.0,14.91
HALO,Fortress,70.31,14.83,Healthcare,5.13,29.89,61.51,49.45,1.587,31.79,8.27
ACN,Fortress,259.95,21.48,Technology,5.12,23.31,16.97,14.6,1.411,45.94,161.21
ABNB,Fortress,133.01,31.74,Consumer Cyclical,4.95,23.64,39.68,17.47,1.392,,81.43
LRN,Fortress,64.61,10.13,Consumer Defensive,4.91,19.77,5.38,11.99,6.775,37.48,2.83
SHLS,Fortress,9.09,47.84,Technology,4.91,7.26,18.78,16.57,2.19,3.74,1.52
SVM,Fortress,8.34,75.82,Basic Materials,4.9,10.35,42.7,30.35,4.588,22.11,1.84
DHR,Fortress,230.4,47.51,Healthcare,4.89,6.96,20.75,24.05,1.519,17.71,164.98
CAT,Fortress,598.41,29.41,Industrials,4.85,25.02,17.75,16.96,1.384,27.12,280.34
ON,Fortress,56.7,77.67,Technology,4.85,14.89,18.5,27.98,5.231,30.49,23.19
HSY,Fortress,182.41,27.23,Consumer Defensive,4.84,29.37,13.54,23.4,1.363,15.19,36.99
XYL,Fortress,137.11,35.34,Industrials,4.71,7.99,15.65,11.39,1.957,25.7,33.38
WLTH,Fortress,13.22,0.0,Technology,4.7,54.22,43.44,38.49,1.81,50.55,1.93
SWKS,Fortress,64.395,20.91,Technology,4.69,8.4,10.23,21.06,2.325,20.44,9.65
TTD,Fortress,37.68,42.82,Communication Services,4.69,13.19,21.8,11.35,1.71,100.0,18.42
ATI,Fortress,119.2,38.45,Industrials,4.64,15.17,15.11,9.69,2.502,4.91,16.43
VLO,Fortress,165.31,34.44,Energy,4.6,9.53,5.53,5.47,1.596,7.65,51.35
NUE,Fortress,169.4,23.76,Basic Materials,4.58,10.81,10.42,19.62,2.774,13.73,38.77
CDE,Fortress,17.55,24.72,Basic Materials,4.55,8.89,33.28,8.68,1.999,3.58,11.27
ALGN,Fortress,156.03,30.3,Healthcare,4.52,16.08,15.67,19.0,1.289,100.0,11.31
MGY,Fortress,22.48,12.15,Energy,4.5,20.06,31.23,50.75,1.472,35.32,4.29
SMCI,Fortress,30.96,24.38,Technology,4.5,10.89,3.63,7.73,5.394,21.34,18.48
AS,Fortress,37.5,68.18,Consumer Cyclical,4.48,5.6,12.87,7.29,1.511,1.74,20.8
CGAU,Fortress,14.14,8.78,Basic Materials,4.48,8.84,34.06,13.73,2.888,160.69,2.86
URBN,Fortress,75.34,14.24,Consumer Cyclical,4.46,14.7,9.57,7.39,1.509,83.41,6.76
KO,Fortress,69.12,22.89,Consumer Defensive,4.43,19.58,32.37,28.75,1.211,8.9,297.47
TMO,Fortress,592.51,34.19,Healthcare,4.4,10.03,19.28,20.02,1.498,6.06,222.61
DKS,Fortress,200.22,16.32,Consumer Cyclical,4.39,21.31,5.56,12.61,1.572,29.67,18.01
NKE,Fortress,63.28,37.01,Consumer Cyclical,4.39,14.23,8.09,11.53,2.063,100.0,93.54
RAL,Fortress,51.22,31.62,Technology,4.38,9.44,9.83,21.59,1.488,100.0,5.78
FIVE,Fortress,193.45,34.67,Consumer Cyclical,4.37,9.04,4.17,10.93,1.605,,10.67
GLW,Fortress,90.67,58.12,Technology,4.34,5.01,14.56,10.21,1.556,3.47,77.74
MRK,Fortress,106.45,14.08,Healthcare,4.26,23.91,40.8,23.59,1.661,16.69,265.89
MWA,Fortress,23.94,19.62,Industrials,4.23,17.64,20.35,13.99,3.544,14.38,3.74
AMKR,Fortress,42.92,31.79,Technology,4.2,9.04,8.0,9.82,1.773,7.64,10.61
JHX,Fortress,20.81,47.3,Basic Materials,4.2,15.53,11.96,22.3,1.793,16.74,12.06
HOLX,Fortress,74.56,29.94,Healthcare,4.15,9.93,32.74,23.67,3.754,6.82,16.63
AEO,Fortress,26.36,23.33,Consumer Cyclical,4.12,15.09,8.26,8.18,1.634,,4.47
BAH,Fortress,84.89,12.94,Industrials,4.1,25.78,9.79,8.49,1.756,7.42,10.46
GNRC,Fortress,141.1,26.03,Industrials,4.08,12.25,9.25,13.59,2.183,5.56,8.28
LEN,Fortress,104.22,13.06,Consumer Cyclical,4.08,12.29,7.88,17.17,12.398,100.0,25.74
MAS,Fortress,64.47,16.49,Industrials,4.07,36.46,15.81,15.49,1.878,12.73,13.5
FLS,Fortress,70.75,20.57,Industrials,4.05,11.29,13.6,7.35,2.103,6.57,9.25
TOL,Fortress,135.58,10.05,Consumer Cyclical,4.04,15.08,17.67,16.61,4.108,,13.07
SOLS,Fortress,49.28,49.78,Basic Materials,4.01,19.1,17.65,23.23,1.532,5.03,7.82
STM,Fortress,27.37,44.87,Technology,4.01,9.36,6.62,20.51,3.223,23.09,24.32
EOG,Fortress,107.27,10.65,Energy,4.0,19.98,33.22,40.18,1.624,60.55,58.57
NVT,Fortress,106.82,59.34,Industrials,4.0,9.02,16.03,15.69,1.574,5.05,17.24
